"MATCH_NUM","NAME_OF_SCOUT","TEAM_NUM","ALLIANCE_COLOR","preGamePosition","preGameBallOnePosition","preGameBallTwoPosition","preGameBallThreePosition","ballOneAuto","ballTwoAuto","ballThreeAuto","autoHotGoalOne","autoHotGoalTwo","autoHotGoalThree","autoColorZone","allianceBallEndTime_checkbox","allianceBallEndTime","teleopInitPosition","highGoalShots_colored","highGoalScores_colored","highGoalShots_white","highGoalScores_white","highGoalShots_goalie","highGoalScores_goalie","lowGoalShots","lowGoalScores","trussThrowShots","trussThrowScores","trussCatchShots","trussCatchScores","passStarts","passRecvHuman","passRecvRobot","shotsBlocked","passesBlocked","fumbles","fumbleDescription","preferredPassStart","preferredPassEnd","caughtBallHuman","caughtBallRobots","collectedBall","pushed","throwsToHumanOverTruss","lineUpToLow","defense_inGoalie","defense_stopRobot","defense_stopGettingBall","robotSpeed","maneuvered","role_defense","role_shooter","role_assister","role_catcher","role_soloCycler","role_soloTrussCatcher","robotBreakage","breakDescription","matchComments"
1,"Aviance",3061,"blue",3,"inCollector","noBall","noBall","noBallOne","noBallTwo","noBallThree","false","false","false","autoColorZone","on",13,"false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"","ground","false","false","false","false","pushed","false","false","false","defense_stopRobot","false",3,"maneuvered","defense","false","false","false","false","soloTrussCatcher","false","Its ours",""
1,"Paul",4217,"red",6,"noBall","noBall","noBall","noBallOne","noBallTwo","noBallThree","false","false","false","false","false","","false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","false","false","false","false","false","false",0,"false","false","false","false","false","false","false","false","",""
1,"Patrick",93,"red",5,"noBall","noBall","noBall","highMiss","noBallTwo","noBallThree","false","false","false","autoColorZone","on",1,"red",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","none","false","false","false","false","false","false","false","false","false","false",1,"false","false","shooter","false","false","false","false","false","",""
2,"Paul",4182,"blue",5,"inCollector","noBall","noBall","noShot","noBallTwo","noBallThree","false","false","false","false","false","","false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","false","false","false","false","false","false",1,"false","false","false","false","false","false","false","robotBreakage","Collector broke and ball stuck",""
2,"Adam",4539,"red",5,"inCollector","noBall","noBall","highMiss","noBallTwo","noBallThree","false","false","false","autoColorZone","on",18,"red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","pushed","false","false","false","defense_stopRobot","false",1,"maneuvered","defense","shooter","false","false","false","false","robotBreakage","Stopped moving",""
2,"Dhipak",3313,"red",1,"inFrontOfBot","noBall","noBall","highMake","noBallTwo","noBallThree","false","false","false","autoColorZone","false","","false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","ground","false","caughtBallHuman","false","collectedBall","false","false","lineUpToLow","false","false","false",2,"maneuvered","false","shooter","false","false","false","false","false","","Score like crazy "
2,"Jenna",3846,"blue",1,"noBall","noBall","noBall","noBallOne","noBallTwo","noBallThree","false","false","false","autoColorZone","on",9,"blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","pushed","false","false","false","defense_stopRobot","false",3,"maneuvered","defense","false","false","false","false","false","false","","Medium speed"
2,"Aviance",4009,"red",4,"inCollector","noBall","noBall","highMake","noBallTwo","noBallThree","false","false","false","autoColorZone","on",12,"false",1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,"","ground","false","caughtBallHuman","false","false","false","throwsToHumanOverTruss","false","false","false","false",2,"maneuvered","defense","false","false","catcher","false","false","false","","Defensive"
2,"Izzy",2177,"blue",3,"inCollector","noBall","noBall","highMake","noBallTwo","noBallThree","autoHotGoalOne","false","false","autoColorZone","on",0,"false",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"","ground","false","false","false","false","false","false","false","false","false","false",1,"false","false","shooter","false","false","false","false","false","","Foul points due to confusion with teammate. One ref said ball was dead, another disagreed, I would not blame them for being confused."
3,"Aviance",4397,"red",5,"inCollector","noBall","noBall","highMiss","noBallTwo","noBallThree","false","false","false","autoColorZone","on",21,"false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","pushed","false","false","false","defense_stopRobot","false",1,"maneuvered","false","false","assister","false","false","false","false","",""
3,"Adam",3755,"blue",3,"inCollector","noBall","noBall","highMake","noBallTwo","noBallThree","false","false","false","autoColorZone","on",10,"blue",1,0,0,0,0,0,0,0,3,3,0,0,2,3,0,0,1,0,"","air","false","caughtBallHuman","false","collectedBall","pushed","false","false","false","defense_stopRobot","false",2,"maneuvered","defense","shooter","false","false","false","false","false","",""
3,"Jenna",3278,"blue",2,"noBall","noBall","noBall","noBallOne","noBallTwo","noBallThree","false","false","false","autoColorZone","on",0,"blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","none","false","false","false","false","false","false","false","false","false","false",1,"false","defense","false","false","false","false","false","false","","Didnt do a lot kinda just sat there alot"
3,"Paul",4511,"red",1,"inCollector","noBall","noBall","highMiss","noBallTwo","noBallThree","false","false","false","false","on",63,"false",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","ground","false","false","false","false","false","false","false","false","false","false",1,"false","false","false","false","false","false","false","robotBreakage","Collector does not work",""
3,"Tyler Thomas ",3840,"red",4,"inCollector","noBall","noBall","highMake","noBallTwo","noBallThree","autoHotGoalOne","false","false","autoColorZone","on",13,"white",2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"","ground","false","false","false","false","false","false","lineUpToLow","false","false","false",2,"maneuvered","false","shooter","false","false","soloCycler","false","robotBreakage","Collecter arm detached","Overall, great robot, just had bad robots in its alliance"
